Price,Close,High,Low,Open,Volume,Symbol,MA_5,MA_10,EMA_5,Lag_1,Lag_2,Volume_Change,Close_Change
Ticker,WBA,WBA,WBA,WBA,WBA,,,,,,,,
Date,,,,,,,,,,,,,
2021-11-24,39.59232711791992,40.20379268009271,39.286594336833524,40.025449637677525,7993900,WBA,1.3390374126055236,1.4021362897061997,1.3442056669450733,1.3540073390526648,1.3451334401699688,-0.001762441033115443,-0.5864723445003294
2021-11-26,38.98086929321289,39.19318338905902,38.462822381003356,38.989360431598094,5798700,WBA,1.307486759893501,1.3728014926056724,1.3063555822268498,1.2908485518940698,1.3508779772285222,-0.6082183117570212,-0.5543323646780117
2021-11-29,39.13372802734375,39.498905220105016,38.641157866537924,39.159204677159444,8875200,WBA,1.292697419114377,1.344306605023412,1.2860542541992792,1.2317919320879096,1.2876880695844344,0.7166136415336269,0.21942035473830054
2021-11-30,38.04668426513672,39.498911862649344,37.715474803211656,39.11674909252407,13238100,WBA,1.251287132070573,1.3079057662262343,1.2374460371049838,1.2465555343853245,1.2286023505703476,0.6524967927173693,-1.0471399155216186
2021-12-01,37.12948226928711,38.81100916416394,37.1040023802058,38.4713053867593,6257600,WBA,1.1909791818023687,1.2679636203119753,1.1754465882547123,1.1415652511910954,1.2433732273974327,-1.0240087881029645,-0.9004865521718601
2021-12-02,37.89381790161133,38.208045087575165,37.0445615410395,37.57110281714629,5758500,WBA,1.1581139308627386,1.241692375145598,1.1587752851912165,1.0529788477375215,1.1383312119149183,-0.2876059906076854,0.8852555678115327
2021-12-03,39.51589584350586,39.55836125156425,37.80039767486332,38.097639332993104,12772900,WBA,1.1684664103582332,1.23106856477117,1.1999982209271998,1.1268009120215137,1.0497011589232903,1.8479196965969988,1.773080768934131
2021-12-06,41.019073486328125,41.40973055770856,39.70272703471256,39.82162238342354,8992500,WBA,1.2049468433299644,1.2419394095328689,1.2759809395866384,1.2834665665273206,1.1235595978525843,-0.6433662808788277,1.582649484073348
2021-12-07,40.95962905883789,41.53712357520224,40.8237481867319,41.137972096041594,6454300,WBA,1.2613107774782517,1.2494336737612728,1.3247180818461066,1.428648436750027,1.2803024468620796,-0.6208026247738235,0.00483509800887396
2021-12-08,41.18893051147461,41.45220113050441,40.90867437770201,41.05304963318793,5329300,WBA,1.3398589442323212,1.2585750558584465,1.3646080334867055,1.4229070972626017,1.4255558531368437,-0.44317035874490873,0.28642030584200256
2021-12-09,41.7579345703125,42.131609450183134,40.78129167895967,41.10401000985086,6381700,WBA,1.4146275488165645,1.2795756052277598,1.4095605287071005,1.445053790235016,1.4198116846959148,0.1685616101460564,0.6147073694580887
2021-12-10,42.03818130493164,42.41185286136625,41.689986397446695,42.131600003954105,4121500,WBA,1.4634324324375654,1.3092232829583474,1.4485711567503654,1.5000100848691582,1.441969290098228,-0.7391278657695164,0.3308907117692085
2021-12-13,41.73245620727539,42.573221412910456,41.333304689082844,42.18256103270556,4588900,WBA,1.477236009076898,1.334423934803069,1.464713872377241,1.5270772417352105,1.4969526635704358,0.030232056213770574,-0.22784211973069374
2021-12-14,41.88532257080078,42.853474283318974,41.61356080025728,41.73245616991308,5314700,WBA,1.4951476867244098,1.3716483695269028,1.4804079907458811,1.4975493002682139,1.5240331573465284,0.10387970243876725,0.20909700873814804
2021-12-15,42.174068450927734,42.23351613377372,41.214407908383514,42.02120205513641,5446000,WBA,1.5142095824618034,1.420567244939092,1.5001872633060849,1.5123136394377956,1.4944906664571094,-0.11571784454400996,0.3381827805590305
2021-12-16,41.83436584472656,42.59020670794684,41.18893245236488,41.18893245236488,5551900,WBA,1.5156884870147693,1.4587799281888243,1.5024127743538456,1.5402016718976352,1.5092622805194433,-0.12437213710443266,-0.2590962011340645
2021-12-17,41.48616409301758,42.14009175607381,41.34179209398642,41.66451035723677,9503100,WBA,1.5050072472438254,1.477886214325284,1.492661548641868,1.5073920702359074,1.5371640543626854,1.0146572038023356,-0.26982704716837197
2021-12-20,41.469181060791016,41.520134358502084,40.67937254971703,41.08701512968179,4307500,WBA,1.4999130130340275,1.482251043384478,1.4856127656632871,1.4737615929803924,1.5043382862927905,-1.0559680904323645,0.046382069584918154
2021-12-21,42.4288444519043,42.62417301436192,41.57958814226815,41.72396339952727,5078500,WBA,1.5104298726672465,1.4964984686794722,1.511877585474536,1.4721213155371518,1.4706912381557462,0.13814717396454054,0.9873795450511972
2021-12-22,42.81100845336914,43.14221788041907,42.284470472921974,42.43733686073818,4791500,WBA,1.5227543233165164,1.5122282482671785,1.5417181736839725,1.5648087810349103,1.469050152491945,-0.24935593158345556,0.42262732039222844
2021-12-23,42.870452880859375,43.2611099580177,42.85346736798441,43.074275795703684,2898500,WBA,1.5428020570060672,1.5230166742485782,1.5635299026704204,1.601719444740823,1.5617832882607006,-0.8064351948599938,0.11821847282830462
2021-12-27,43.08277130126953,43.25262320758832,42.734576351161074,42.81100954702174,5219200,WBA,1.5736955582290175,1.5331463788561928,1.58492161295841,1.6074607842282482,1.5987121391077233,1.161052971076058,0.26062196276650645
2021-12-28,43.677249908447266,43.83860743230081,43.07427873863843,43.08276987582838,3736100,WBA,1.6164205173127941,1.5520056306053807,1.6183638960329594,1.6279671997574219,1.6044563075486522,-0.6239369796832341,0.614069401731206
2021-12-29,44.37364196777344,44.424598512385685,43.54986231464839,43.69423757122192,5117300,WBA,1.654051315999138,1.5761356151439045,1.6631281816544115,1.6853839105564248,1.624972827287164,0.4519306529154981,0.6997954357582006
2021-12-30,44.15283203125,44.94263733050155,44.1103666287873,44.46705592361075,3653600,WBA,1.6800148893376492,1.5953242830683922,1.6858464981863908,1.7526437597592046,1.682417829255074,-0.6270096829356355,-0.1360873878656834
2021-12-31,44.297203063964844,44.51800824952731,44.01695020384112,44.07639787840237,3406700,WBA,1.7076217473668525,1.6192071592351025,1.705650244490063,1.7313172055084105,1.7497108196762896,-0.2675616647768125,0.1933861272775231
