Price,Close,High,Low,Open,Volume,Symbol,MA_5,MA_10,EMA_5,Lag_1,Lag_2,Volume_Change,Close_Change
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,,,,,
Date,,,,,,,,,,,,,
2021-11-24,179.02049255371094,180.6820068359375,176.84249877929688,178.1334991455078,46560000,AMZN,1.0477289947246502,0.9945877827847678,1.0039944571077277,0.980424048686756,0.9739877272399458,-1.264291531512155,-0.019033507645417707
2021-11-26,175.22799682617188,181.6750030517578,175.20750427246094,180.10499572753906,59826000,AMZN,0.99233839185989,0.9992758812172314,0.9629532524314861,0.9809556004014783,0.9847522324015577,0.7313473398586539,-0.9105641487151345
2021-11-29,178.07850646972656,179.8000030517578,176.5749969482422,177.3820037841797,65312000,AMZN,0.9590750949425124,1.0046015456853012,0.9631274458529157,0.8719502200915515,0.9852852244865268,0.14179492204964356,0.6579109863338777
2021-11-30,175.35350036621094,179.2884979248047,174.60049438476562,178.1750030517578,80022000,AMZN,0.9401295133109714,0.9989556478672272,0.9369209016608371,0.9538806717243654,0.8759844672599214,0.549206034382423,-0.6642112597113018
2021-12-01,172.18600463867188,177.99400329589844,172.0800018310547,177.25,74916000,AMZN,0.9006995235810262,0.9847743442304119,0.8888528931321988,0.8755574914228965,0.9581369296239174,-0.33267840875482735,-0.7798493788317662
2021-12-02,171.8679962158203,174.63499450683594,171.1875,173.0,64726000,AMZN,0.8593228958614237,0.9684493157235428,0.8537356961236532,0.7845161030560569,0.8796015133811019,-0.5530062397110029,-0.10070700717691482
2021-12-03,169.489501953125,173.49349975585938,166.92999267578125,172.75,80712000,AMZN,0.8261261551969002,0.9236637267374604,0.8073487500529893,0.775375781862554,0.7883134259567527,0.6155774742537656,-0.6029333180072244
2021-12-06,171.36849975585938,173.69549560546875,166.9344940185547,169.64999389648438,68860000,AMZN,0.7873092950854278,0.8872233938621521,0.7945746273060691,0.7070121790277738,0.7791483368124944,-0.5860320890788602,0.4409245750201252
2021-12-07,176.1645050048828,177.49949645996094,173.33450317382812,174.60000610351562,66410000,AMZN,0.7920008930154301,0.8800172509749302,0.8323863971384793,0.7610190612508119,0.7105994859637081,-0.24655067437870465,1.1486993669009355
2021-12-08,176.1580047607422,177.17999267578125,174.75050354003906,176.15049743652344,45254000,AMZN,0.8149786007400022,0.8716997519912046,0.8575314534480608,0.8988677006947492,0.7647527131314188,-1.1099848114769348,-0.02490559650750135
