Price,Close,High,Low,Open,Volume
Ticker,GM,GM,GM,GM,GM
Date,,,,,
2010-11-18,25.75994300842285,27.116128381067064,25.533913071024344,26.370226426112747,457044300
2010-11-19,25.81267547607422,25.993501096140953,24.946227164011624,25.72980006075793,107842000
2010-11-22,25.677064895629883,25.978437156084265,25.473637110906875,25.76747628635357,36650600
2010-11-23,25.051715850830078,25.60925906220113,25.0065087123535,25.579120969883412,31170200
2010-11-24,25.22500228881836,25.466101247740955,25.029110462491115,25.41336103010953,26138000
2010-11-26,25.46610450744629,25.47364046757328,25.021577706133876,25.172265293280343,12301200
2010-11-29,25.46610450744629,25.47364046757328,24.91609725736935,25.46610450744629,27776900
2010-11-30,25.767480850219727,25.805152030182956,25.134595254806374,25.262677841506708,57476900
2010-12-01,26.204469680786133,26.332555131688657,25.933232607464628,26.10652519529626,34633200
2010-12-02,26.129127502441406,26.355157440354077,26.001042050677384,26.309950303120903,23196100
2010-12-03,26.031173706054688,26.06884487403831,25.594182984018083,26.031173706054688,19395200
2010-12-06,25.978443145751953,26.20447311173846,25.925702916159334,25.978443145751953,11676500
2010-12-07,26.129127502441406,26.287348171567615,25.963370873379706,26.181867725483478,20823000
2010-12-08,25.955835342407227,26.166796214701982,25.865423950584663,26.07638482287942,12603900
2010-12-09,25.4208984375,25.940767558395095,25.330484167158403,25.888027337759063,18402200
2010-12-10,25.473634719848633,25.609253230267605,25.262670995793556,25.503769931177057,11741700
2010-12-13,25.46610450744629,25.654463272847707,25.39076215093639,25.58665400233813,11029300
2010-12-14,25.533903121948242,25.556505244643382,25.202392867875794,25.413353677365038,15165600
2010-12-15,25.32295036315918,25.62432263336706,25.32295036315918,25.473637935326312,10182700
2010-12-16,25.32295036315918,25.5113091098365,25.28527918864899,25.292812273900473,9885700
2010-12-17,25.61679458618164,25.61679458618164,25.006511092236906,25.2626791530638,35681600
2010-12-20,25.43596839904785,25.654465273745366,25.420902225872133,25.548984816753986,12476400
2010-12-21,25.50377082824707,25.57158008584168,25.40582635826406,25.51130678693876,9012400
2010-12-22,26.309946060180664,26.332551062215096,25.26267197991289,25.405826454335138,20935100
2010-12-23,26.227075576782227,26.762013781702787,26.08392107537625,26.12159225369957,20529200
2010-12-27,26.068845748901367,26.287342554315302,25.759937562467382,25.925694156109124,7368300
2010-12-28,26.611328125,26.87502926652211,26.42296934559081,26.656535266743884,23489000
2010-12-29,27.138723373413086,27.349684209605787,26.558578199757328,26.724334784837783,20960800
2010-12-30,27.741477966308594,27.862027457845382,27.138730508624654,27.199003817329753,16980800
2010-12-31,27.771608352661133,27.84695068617088,27.553111561706743,27.756539311134024,6163900
2011-01-03,27.922298431396484,28.630526202779873,27.899693429988574,28.118190240800043,24874900
2011-01-04,28.55518913269043,28.622998401177224,27.63599746523091,27.95243880208489,32363400
2011-01-05,28.68326759338379,28.85655728261952,28.23120778443199,28.23120778443199,22503900
2011-01-06,29.30862808227539,29.74561896872994,28.683275536779835,28.811361005067404,38556900
2011-01-07,29.368896484375,29.63260046360319,29.014781108272867,29.263416042334317,19901100
2011-01-10,29.05245018005371,29.65519751280877,28.962035924545958,29.64012847022414,18341600
2011-01-11,29.19561004638672,29.707946142937327,29.01478435825782,29.127800772604232,14856500
2011-01-12,29.097660064697266,29.662736337408028,28.909301307127013,29.346295004270743,16773900
2011-01-13,28.833955764770508,29.165466106744198,28.71340628822314,29.127794934221818,11358300
2011-01-14,28.78120994567871,28.984637686650505,28.66066049259828,28.76614090477795,5894200
2011-01-18,28.65312385559082,28.879156589616343,28.118185849865032,28.668192896134226,8918200
