Price,Close,High,Low,Open,Volume
Ticker,EL,EL,EL,EL,EL
Date,,,,,
2010-01-04,20.43556785583496,20.58291885361898,20.305055824936666,20.498717595168646,3508400
2010-01-05,20.355573654174805,20.414515652681896,20.060871691665582,20.37241422517683,3246000
2010-01-06,20.418729782104492,20.58292137287598,20.27558810702065,20.469249900955962,4447200
2010-01-07,20.675537109375,20.713427589349624,20.157701620391904,20.385042894234484,3864800
2010-01-08,20.75973892211914,20.784998172122844,20.439774503360407,20.57449585673086,2221600
2010-01-11,20.957609176635742,20.978660692145525,20.4355643544982,20.831308113602798,3271600
2010-01-12,20.864992141723633,21.227054810933016,20.776579939958015,20.87762176797356,3761000
2010-01-13,21.0376033782959,21.092332827782922,20.784999618642583,20.91972098138889,3205800
2010-01-14,21.008127212524414,21.121797025170654,20.80604361980809,21.02917711834761,3004000
2010-01-15,20.949190139770508,21.21863445790061,20.84393897997141,21.071281870578723,4555600
2010-01-19,21.046018600463867,21.248100595961606,20.806044524430057,20.961817367505244,3195800
2010-01-20,20.646066665649414,20.940770216788163,20.54502485159993,20.852358027242936,3143400
2010-01-21,22.536380767822266,22.63742260107813,22.014335846349105,22.123796360204622,17290600
2010-01-22,22.384815216064453,22.725829541629505,22.26272509496554,22.51953817404481,5699200
2010-01-25,22.384815216064453,22.662679811269072,22.292195290334778,22.570058279534198,4302400
2010-01-26,22.5447940826416,22.721616834657063,22.250090566619136,22.367972936631098,4617800
2010-01-27,22.582691192626953,22.62900196523761,22.20799727751226,22.498489933880794,3802800
2010-01-28,22.330081939697266,22.624785448831492,22.22483080114968,22.384811375418465,5303000
2010-01-29,22.11116600036621,22.44376008321878,21.93855414569678,22.426919510566787,5374800
2010-02-01,22.65004539489746,22.708985777346587,22.08168987156092,22.245881395813477,5915800
2010-02-02,23.576257705688477,23.698349425677016,22.5321664857286,22.540586770486957,7339800
2010-02-03,23.81622886657715,23.963579826584017,23.285763804547397,23.39943523341199,5416200
2010-02-04,23.50890350341797,23.73624643644447,23.33208068683995,23.605734395779876,5238000
2010-02-05,23.32365608215332,23.449957144200045,22.82265956742729,23.420486949922648,4525400
