Price,Close,High,Low,Open,Volume
Ticker,F,F,F,F,F
Date,,,,,
2010-02-19,6.237154960632324,6.297924217198356,6.220581622815573,6.270302163122739,46990000
2010-02-22,6.192956447601318,6.286872867315384,6.176383116727274,6.2758236288282285,41993100
2010-02-23,6.408413410186768,6.424986745079215,6.159810752515986,6.176384614265249,114688400
2010-02-24,6.48022985458374,6.5630975633764645,6.436033953970298,6.474705762149581,84200800
2010-02-25,6.5078535079956055,6.535476082193427,6.297922681691646,6.369741163863273,83114500
2010-02-26,6.485754489898682,6.546524248534825,6.413936019510226,6.535475009925819,72368400
2010-03-01,6.855897426605225,6.861422047419039,6.491280882602921,6.524428080628966,142605500
2010-03-02,6.7509307861328125,7.00505749245765,6.728832834576597,6.971910301694965,193706600
2010-03-03,7.010581970214844,7.087925068337526,6.822749635099904,6.8835188735026716,157004600
2010-03-04,7.065828323364258,7.071352944215247,6.916667248385454,7.060303702513269,89836800
2010-03-05,7.181845188140869,7.203943152260869,7.087928708916619,7.137649259900872,106920600
2010-03-08,7.1431708335876465,7.159744167889074,7.06582772875299,7.148694927116924,78903200
2010-03-09,7.071352958679199,7.198416077370789,7.032681139500018,7.087926294409223,83934300
2010-03-10,7.082401275634766,7.154219762239,7.0713525613877835,7.1155484720893405,56850600
2010-03-11,7.132122039794922,7.165269237331952,7.043730215505281,7.065828171577691,59274700
2010-03-12,7.369674205780029,7.386247538293462,7.1707921081918755,7.192890587352108,104771000
2010-03-15,7.402821063995361,7.529884688198915,7.358625158235017,7.435968256743996,95072200
2010-03-16,7.452543258666992,7.463592501009904,7.358626806179736,7.452543258666993,74692700
2010-03-17,7.789535999298096,7.8171580451479965,7.485688753238414,7.485688753238414,137318700
2010-03-18,7.585130214691162,8.032614472636478,7.5409343036418495,7.861354922177777,235094400
2010-03-19,7.342051982879639,7.690095143355344,7.203939642699918,7.342051982879638,252411200
2010-03-22,7.728769779205322,7.734294401652181,7.076879609328823,7.17079555664045,170576100
2010-03-23,7.679048538208008,7.900028674435868,7.629328521242263,7.828210169676084,167002400
2010-03-24,7.679048538208008,7.76191628686481,7.601705938356662,7.6072305603051715,91765400
2010-03-25,7.623799800872803,7.800583393333777,7.60170185181518,7.761912114197105,88909300
2010-03-26,7.656947612762451,7.723241469907008,7.601702995237024,7.6735214721911476,60400400
2010-03-29,7.496738433837891,7.667997985238823,7.397297896858246,7.568556921402358,158225000
2010-03-30,7.336526393890381,7.535408474671113,7.281281781228719,7.48568795447593,142055200
2010-03-31,6.944289684295654,7.154220546571633,6.861422474359526,7.082402052093782,433659100
2010-04-01,6.9774370193481445,7.1542206849550585,6.949814439882844,7.093451431616902,212952100
2010-04-05,7.054780960083008,7.13764818129628,7.049256338173604,7.121074842425013,88957200
2010-04-06,7.016107559204102,7.115548623831638,6.960862933077445,7.060303470848157,76423800
2010-04-07,6.949813365936279,7.082401094652838,6.922190790739464,7.010582609883835,88112400
2010-04-08,6.9774370193481445,7.021632935749873,6.817226690677658,6.933241102946416,77491400
2010-04-09,7.027155876159668,7.093449734905157,6.966386110500403,7.032679969245892,60408600
2010-04-12,7.054780960083008,7.076878920863676,6.982962455831598,7.027158377392936,50783100
2010-04-13,7.065828323364258,7.121073478160463,7.021632410270032,7.043730366817145,71008500
2010-04-14,7.375200271606445,7.419396184878803,7.104499644242193,7.137646842624884,153602100
2010-04-15,7.6017045974731445,7.667998468590679,7.408347078237698,7.413871699211706,159110500
2010-04-16,7.413871765136719,7.690096494011091,7.347577893429692,7.645900579539741,149640000
2010-04-19,7.5133137702941895,7.59618098851706,7.380725483537901,7.391774726957977,95855100
2010-04-20,7.684573650360107,7.701146990405912,7.551985876279705,7.579608460927368,75630700
2010-04-21,7.806111812591553,7.817160529070921,7.690097391845129,7.745342554812729,120284000
2010-04-22,7.844782829284668,7.861356166837953,7.6514258195446105,7.734293034167935,93331100
2010-04-23,7.850305080413818,7.9497461294218486,7.79505993610786,7.8558297002157635,92002200
2010-04-26,7.988417148590088,8.049186383819782,7.888976102889929,7.949745864976348,123029200
2010-04-27,7.496738433837891,8.010516561183866,7.264709636124019,7.977369364286104,292667400
2010-04-28,7.319953441619873,7.430443199518263,7.126595970155149,7.397296535577108,208023500
2010-04-29,7.502265930175781,7.56855982252576,7.391776109592482,7.430447415082381,110114400
2010-04-30,7.1928911209106445,7.585129671679115,7.159743926568226,7.535409670450659,146322900
2010-05-03,7.347575664520264,7.452540797834015,7.2812818129236785,7.2812818129236785,106416800
2010-05-04,7.098974704742432,7.226037808553117,7.043729556303223,7.220513188337839,123207400
2010-05-05,6.817227363586426,7.016109007025235,6.402890211279538,6.806178119966914,198525600
2010-05-06,6.5078535079956055,6.911141826827542,5.850438981742687,6.723308954510485,237094700
2010-05-07,6.358692646026611,6.6128193881267086,6.049320753830355,6.601770147364758,261066500
2010-05-10,6.7122602462768555,6.938764951172227,6.640442285267852,6.927715709874335,134388700
2010-05-11,6.800652503967285,6.938764857179111,6.5465257529832535,6.623868333593514,125738800
2010-05-12,7.005059719085693,7.0216330563066744,6.900094020686735,6.944289937847278,102657000
2010-05-13,6.861422538757324,7.110024697755832,6.806177380376822,7.110024697755832,100156000
2010-05-14,6.690164566040039,6.822752872427419,6.557576786509662,6.76750770086126,105856000
2010-05-17,6.601772308349609,6.728835984420324,6.34764548306515,6.673590816240541,108686700
2010-05-18,6.380792617797852,6.728835908971222,6.325547450237521,6.712262042588944,101309100
2010-05-19,6.380792617797852,6.441561880628644,6.137714512760754,6.242680225753989,132864400
2010-05-20,5.966452598571777,6.242677251034761,5.944354647449008,6.099040305308399,156449200
2010-05-21,6.220580101013184,6.2426780549817815,5.618410196797925,5.66260610473512,174455100
2010-05-24,6.082467079162598,6.320019926137838,6.082467079162598,6.2371527397045465,90998300
2010-05-25,6.087993621826172,6.1045669589766645,5.756523717674985,5.784146297497065,137858600
2010-05-26,6.292400360107422,6.529953300640911,6.270302399898331,6.325547036992592,146872000
2010-05-27,6.623867511749268,6.629392131637919,6.441559270277765,6.546524940735146,90700800
2010-05-28,6.48022985458374,6.67358731491007,6.419460622954431,6.657013983894203,78823400
2010-06-01,6.3034467697143555,6.563098102281162,6.286873437337629,6.353167293701269,80977300
2010-06-02,6.546526908874512,6.557575625116735,6.3255467886040195,6.441561206860378,87265300
2010-06-03,6.607296943664551,6.712262131186292,6.524429718087227,6.634919527809315,79568700
2010-06-04,6.353170871734619,6.563101798545215,6.292401600890907,6.4581360717114,83480900
2010-06-07,6.126664161682129,6.353168339939399,6.11009082657611,6.3255457635248185,76229000
2010-06-08,6.198483943939209,6.281351163629849,6.016175639134256,6.154288023189944,81494400
2010-06-09,6.104564666748047,6.297921599184425,6.0769420972980805,6.275823648995791,74947600
2010-06-10,6.292400360107422,6.297924455016997,6.132190016877283,6.192959275738049,64799500
2010-06-11,6.297924518585205,6.336596344484146,6.192959338246791,6.204008055034391,50280600
2010-06-14,6.331072807312012,6.474709838157507,6.297925597556503,6.342121525992498,58144500
2010-06-15,6.463658809661865,6.496806010273935,6.364218261539417,6.380791598417011,51790900
2010-06-16,6.42498779296875,6.502330913175879,6.3531692942457525,6.436036509080109,61954100
2010-06-17,6.34212064743042,6.4581350752179,6.2592534248066265,6.4581350752179,69430100
2010-06-18,6.331072807312012,6.419464664184001,6.297925597556503,6.386317981285518,55417700
2010-06-21,6.369742393493652,6.518904006842343,6.353169056518314,6.452610132084108,67814300
2010-06-22,6.198483943939209,6.408414830926687,6.176385983564577,6.375267626936271,73509000
2010-06-23,6.093515872955322,6.2316282034284685,6.076942540818429,6.204005631962493,83134400
2010-06-24,5.9554057121276855,6.093518092917288,5.878063116073939,6.071420133065228,74449200
2010-06-25,5.938832759857178,5.949882003929646,5.756524447517095,5.938832759857178,148168400
2010-06-28,5.762047290802002,5.944355546863294,5.762047290802002,5.92225759239698,57994700
2010-06-29,5.458200454711914,5.601837433565163,5.386381965285291,5.5907881920271425,124866100
2010-06-30,5.568690299987793,5.8117683480573845,5.546592343513907,5.579739541653156,182831300
2010-07-01,5.839391708374023,5.872538913948711,5.535544870414697,5.651558772783703,153383000
2010-07-02,5.679180145263672,5.872537661694567,5.60736165421382,5.844915084082032,71607100
2010-07-06,5.612888813018799,5.839393103514926,5.546594912887524,5.7565258600651035,81246900
2010-07-07,5.850440502166748,5.872538461896511,5.618411661575772,5.640509621305536,72565300
2010-07-08,5.867011547088623,5.983025922039106,5.773095123230769,5.922256688248552,62355500
